Sentence,Top-1 Similar,Top-2 Similar,Top-3 Similar,Top-4 Similar,Top-5 Similar,Top-1 Similarity,Top-2 Similarity,Top-3 Similarity,Top-4 Similarity,Top-5 Similarity,name,video,start,end,speaker,orth,translation,Top-1 Orth,Top-2 Orth,Top-3 Orth,Top-4 Orth,Top-5 Orth,Word_Overlap_Top_1,Word_Overlap_Top_2,Word_Overlap_Top_3,Word_Overlap_Top_4,Word_Overlap_Top_5
am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich,in der südosthälfte deutschlands bleibt es morgen unter leichtem hochdruckeinfluss noch recht freundlich,am samstag ist es in der südhälfte freundlich in der nordhälfte einzelne schauer,am freitag ist es im südwesten zunächst freundlich,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,im westen und nordwesten beruhigt sich das wetter später wieder,0.9122923,0.89123493,0.8900751,0.882698,0.88220894,12April_2010_Monday_tagesschau-365,12April_2010_Monday_tagesschau-365/1/*.png,-1.0,-1.0,Signer01,DONNERSTAG SUEDOST WEITER WECHSELHAFT NORDWEST MEHR FREUNDLICH SONNE,am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich,DEUTSCH HIER LAND SUEDOST HOCH DRUCK FREUNDLICH,SAMSTAG SUED FREUNDLICH NORD EINIGE SCHAUER,FREITAG SUEDWEST SONNE IM-VERLAUF,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,WEST NORDWEST VERSCHWINDEN,2,1,1,2,1
im westen und nordwesten beruhigt sich das wetter später wieder,und das wetter im südöstlichen mittelmeer das beruhigt sich nur langsam,am freitag beruhigt sich das wetter wieder,am sonntag ziehen von nordwesten wieder schauer und gewitter heran,am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich,in der südosthälfte deutschlands bleibt es morgen unter leichtem hochdruckeinfluss noch recht freundlich,0.90389997,0.9035348,0.8874902,0.88220894,0.881229,12July_2010_Monday_tagesschau-373,12July_2010_Monday_tagesschau-373/1/*.png,-1.0,-1.0,Signer01,WEST NORDWEST VERSCHWINDEN,im westen und nordwesten beruhigt sich das wetter später wieder,SUEDOST REGION VERSCHWINDEN LANGSAM IM-VERLAUF,FREITAG MEHR RUHIG,SONNTAG REGION REGEN GEWITTER KOMMEN,DONNERSTAG SUEDOST WEITER WECHSELHAFT NORDWEST MEHR FREUNDLICH SONNE,DEUTSCH HIER LAND SUEDOST HOCH DRUCK FREUNDLICH,1,0,0,1,0
morgen gibt es im osten und südosten bei einer mischung aus sonne und wolken zum teil kräftige schauer oder gewitter,morgen gibt es zum teil dichte wolken oder nebel aber auch sonne vor allem im süden,und im süden besonders vom bayerischen wald bis zu den alpen gibt es am nachmittag einzelne schauer und gewitter,sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen,und so erwartet uns eine mischung aus teilweise zähen nebelfeldern wolken und sonnenschein,am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken,0.9084051,0.8991528,0.88755107,0.883124,0.88031507,12July_2010_Monday_tagesschau-374,12July_2010_Monday_tagesschau-374/1/*.png,-1.0,-1.0,Signer01,MORGEN OST SUEDOST MISCHUNG SONNE WOLKE TEILWEISE REGEN GEWITTER,morgen gibt es im osten und südosten bei einer mischung aus sonne und wolken zum teil kräftige schauer oder gewitter,MORGEN UEBERWIEGEND BEWOELKT NEBEL AUCH SUED IX SONNE,SUED REGION BESONDERS BAYERN WALD BIS ALPEN DANN REGEN NACH MITTAG KOENNEN,WOCHENENDE SONNE SAMSTAG SCHOEN TEMPERATUR BIS SIEBZEHN GRAD REGION,MISCHUNG NEBEL AUFLOESEN DANN WOLKE SONNE,MITTWOCH MISCHUNG WOLKE NEBEL NORDWEST BISSCHEN SCHAUER REGION TROCKEN,2,1,1,3,2
temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad,dort morgen sechs grad sonst temperaturen zwischen minus ein und plus fünf grad,im südwesten morgen werte um den gefrierpunkt im osten bis minus sieben grad,es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad,mit föhnunterstützung klettern die temperaturen am alpenrand bis zehn grad,heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen,0.9393568,0.92371917,0.9149654,0.9100473,0.90890145,17February_2011_Thursday_heute-387,17February_2011_Thursday_heute-387/1/*.png,-1.0,-1.0,Signer07,TEMPERATUR NULL GRAD KALT NORD MINUS FUENF GRAD,temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad,REGION SECHS GRAD REGION MINUS EINS BIS FUENF GRAD,SUEDWEST NULL OST MINUS SIEBEN MOEGLICH,SAMSTAG KALT MINUS ZEHN TEMPERATUR,BISSCHEN WEHEN TEMPERATUR ALPEN IX KOENNEN BIS ZEHN GRAD,HEUTE NACHT PLUS VIER OST MINUS VIER REGION,3,2,3,2,1
die luft die in der kommenden woche zu uns strömt ist deutlich kühler,die luft die in den kommenden tagen zu uns strömt ist dann kälter,die neue woche beginnt noch wechselhaft und etwas kühler,die neue woche beginnt wechselhaft und kühler,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,an der elbe einzelne schauer im nordwesten aber schon wieder deutlich freundlicher,0.91925734,0.8911005,0.87973845,0.8599612,0.8584397,17April_2010_Saturday_tagesschau-399,17April_2010_Saturday_tagesschau-399/1/*.png,-1.0,-1.0,Signer03,NAECHSTE WOCHE LUFT KOMMEN MEHR KUEHL,die luft die in der kommenden woche zu uns strömt ist deutlich kühler,IN-KOMMEND DANN NAEHERN KALT,MONTAG WECHSELHAFT BISSCHEN KUEHL,MONTAG ANFANG WECHSELHAFT MEHR KUEHL,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,FLUSS REGION SCHAUER NORDWEST WARM KOMMEN,0,1,2,1,1
am dienstag ist es teils freundlich teils stärker bewölkt einige regenschauer sind dabei mitunter auch gewitter,am sonntag überall unbeständiges wetter teilweise kräftige regenfälle teilweise auch gewitter,am tag ist es im südosten meist stark bewölkt vor allem an den alpen muss mit regen gerechnet werden,dabei ist es teils stark bewölkt oder neblig trüb teils freundlich mit sonnenschein,heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt,am montag ist es meist stark bewölkt hier und da regnet es,0.87882024,0.87789035,0.87256795,0.8718873,0.86069715,17April_2010_Saturday_tagesschau-406,17April_2010_Saturday_tagesschau-406/1/*.png,-1.0,-1.0,Signer03,DIENSTAG HAUPTSAECHLICH SONNE ABER WOLKE AUCH HABEN2 WECHSELHAFT MOEGLICH REGEN ODER GEWITTER,am dienstag ist es teils freundlich teils stärker bewölkt einige regenschauer sind dabei mitunter auch gewitter,SONNTAG WECHSELHAFT TEIL UEBERWIEGEND REGEN AUCH DABEI GEWITTER,MORGEN SUEDOST WOLKE HAUPTSAECHLICH ALPEN MOEGLICH REGEN,ABER STARK WOLKE HIMMEL KOENNEN NEBEL TEILWEISE SOLL SONNE DABEI,HEUTE ABEND SUED REGION NOCH REGEN GEWITTER REGION KLAR HIMMEL BISSCHEN WOLKE,MONTAG WOLKE MAL REGEN,4,4,3,3,2
am sonntag im norden und in der mitte schauer dabei ist es im norden stürmisch,am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich,am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig,am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken,denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig,sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen,0.92007124,0.9088555,0.90607387,0.8966228,0.89046174,01October_2009_Thursday_tagesschau-420,01October_2009_Thursday_tagesschau-420/1/*.png,-1.0,-1.0,Signer03,SONNTAG NORD MITTE REGION REGEN NORD STURM,am sonntag im norden und in der mitte schauer dabei ist es im norden stürmisch,SONNTAG NORD ALPEN IX SONNE WOLKE SCHAUER SONST REGION FREUNDLICH,SAMSTAG VIEL SONNE BESONDERS ALPEN KUESTE WOLKE KOENNEN,MITTWOCH MISCHUNG WOLKE NEBEL NORDWEST BISSCHEN SCHAUER REGION TROCKEN,GRUND HOCH TIEF WIEDER UND SUED REGION LUFT FEUCHT WARM SUED REGION SONNE,WOCHENENDE SONNE SAMSTAG SCHOEN TEMPERATUR BIS SIEBZEHN GRAD REGION,3,0,1,1,1
im süden freundliches wetter,es sorgt morgen dort für ruhiges freundliches wetter,am dienstag wechselhaftes wetter,sonst sorgt die hochdruckzone die vom atlantik bis nach skandinavien reicht für freundliches wetter,kalte teilweise feuchte luft bestimmt das wetter in deutschland,deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee,0.90056723,0.896959,0.8862944,0.87495285,0.86829275,01October_2009_Thursday_tagesschau-421,01October_2009_Thursday_tagesschau-421/1/*.png,-1.0,-1.0,Signer03,SUED REGION BESSER,im süden freundliches wetter,GUT FREUNDLICH SONNE GUT,DIENSTAG WECHSELHAFT,REGION HOCH DRUCK KOMMEN SKANDINAVIEN KOMMEN DARUM KOMMEN FREUNDLICH,LUFT KALT FEUCHT DARUM KOMMEN DEUTSCHLAND EINFLUSS,DEUTSCH LAND TIEF DRUCK KOMMEN IM-VERLAUF TAG BEWOELKT BISSCHEN REGEN SCHNEE SCHNEIEN,0,0,1,0,0
der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad,unter wolken heute nacht frostfreie zwei bis acht grad,es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad,wo es heute nacht aufklart ist leichter frost möglich sonst null bis vier grad,am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,0.9224305,0.92055863,0.90784353,0.8999685,0.8999082,04May_2010_Tuesday_heute-460,04May_2010_Tuesday_heute-460/1/*.png,-1.0,-1.0,Signer04,DONNERSTAG EXTREM WETTER REGION TEMPERATUR UNTERSCHIED SECHS BIS ZWANZIG GRAD,der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad,WOLKE DAS-IST-ES NACHT ZWEI BIS ACHT neg-HABEN FROST,SAMSTAG KALT MINUS ZEHN TEMPERATUR,HEUTE-NACHT STERN HABEN BISSCHEN FROST MOEGLICH SONST NULL BIS VIER GRAD,SAMSTAG VIEL SONNE BESONDERS ALPEN KUESTE WOLKE KOENNEN,MORGEN REGION SONNE IX WOLKE BEWOELKT,1,1,2,0,1
auch am samstag regnet oder schneit es verbreitet später wird es im westen und norden freundlicher,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,am donnerstag noch unbeständig aber ab freitag wird es von westen langsam freundlicher,aber ab dienstag wird es langsam wieder freundlicher und wärmer,am wochenende scheint meist die sonne und es wird noch wärmer,am nachmittag wird es dann freundlicher,0.921582,0.8941289,0.8923689,0.88792956,0.8831146,30January_2013_Wednesday_tagesschau-476,30January_2013_Wednesday_tagesschau-476/1/*.png,-1.0,-1.0,Signer05,AUCH SAMSTAG REGEN SCHNEE SCHNEIEN IM-VERLAUF WEST NORDWEST MEHR FREUNDLICH,auch am samstag regnet oder schneit es verbreitet später wird es im westen und norden freundlicher,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,DONNERSTAG WECHSELHAFT FREITAG WEST KOMMEN FREUNDLICH,AB DIENSTAG IN-KOMMEND LANGSAM WIEDER ZURUECK FREUNDLICH WARM,WOCHENENDE HAUPTSAECHLICH SONNE HIMMEL SCHOEN MEHR WARM,NACH MITTAG MEHR FREUNDLICH,3,2,1,1,2
im südwesten morgen werte um den gefrierpunkt im osten bis minus sieben grad,temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad,an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad,nordöstlich der elbe morgen örtlich minus ein am oberrhein bis plus acht grad,die temperaturen sinken auf werte zwischen dreizehn und fünf grad,heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen,0.92371917,0.9147352,0.9096459,0.9054037,0.9031677,07February_2010_Sunday_tagesschau-499,07February_2010_Sunday_tagesschau-499/1/*.png,-1.0,-1.0,Signer04,SUEDWEST NULL OST MINUS SIEBEN MOEGLICH,im südwesten morgen werte um den gefrierpunkt im osten bis minus sieben grad,TEMPERATUR NULL GRAD KALT NORD MINUS FUENF GRAD,NORD HEUTE NACHT MINUS ZWEI BERG BIS MINUS FUENFZEHN GRAD,NORD FLUSS MINUS EINS FLUSS PLUS ACHT,TEMPERATUR DREIZEHN ZWISCHEN FUENF GRAD,HEUTE NACHT PLUS VIER OST MINUS VIER REGION,2,1,1,0,2
in der südhälfte muss dazu mit nachtfrost gerechnet werden,morgen muss verbreitet mit teilweise kräftigen schauern und gewittern gerechnet werden,in der nacht muss vor allem in der nordwesthälfte mit schauern und gewittern gerechnet werden die heftig ausfallen können,vor allem über dem bergland können sich im tagesverlauf stellenweise quellwolken bilden und im südwesten muss mit vereinzelten hitzegewittern gerechnet werden,am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können,im norden wird es dagegen noch trocken sein,0.91275907,0.9045925,0.88639265,0.88479435,0.8817489,20October_2011_Thursday_tagesschau-506,20October_2011_Thursday_tagesschau-506/1/*.png,-1.0,-1.0,Signer01,SUED REGION KOENNEN NACHT FROST BODEN,in der südhälfte muss dazu mit nachtfrost gerechnet werden,MORGEN TATSAECHLICH REGEN GEWITTER KOENNEN,HIER NACHT HAUPTSAECHLICH NORDWEST SCHAUER GEWITTER HEFTIG REGEN MOEGLICH,REGION TAGSUEBER DANN WOLKE DANN SUEDWEST GEWITTER KOENNEN,SONNTAG WIEDER WECHSELHAFT SCHAUER GEWITTER ORT STARK,NORD TROCKEN IX,1,1,2,0,0
am tag sechs grad an den alpen und dreizehn grad am oberrhein,am tag elf grad im vogtland und einundzwanzig grad am oberrhein,am tag sechzehn grad an der ostsee und bis zu siebenundzwanzig grad am oberrhein,am tag zwölf grad an der ostsee und bis zwanzig grad in niederbayern,am tag vier grad im sauerland und zwölf grad im breisgau,am tag sieben grad an der ostsee und fünfzehn grad am rhein,0.9710345,0.9622395,0.945269,0.9434963,0.93705165,20October_2011_Thursday_tagesschau-513,20October_2011_Thursday_tagesschau-513/1/*.png,-1.0,-1.0,Signer01,TAG BERG SECHS GRAD IX REGION DREIZEHN GRAD REGION,am tag sechs grad an den alpen und dreizehn grad am oberrhein,AM-TAG ELF VOGEL LAND,TAG OST SECHSZEHN MAXIMAL SIEBEN ZWANZIG GRAD FLUSS,TAG NORDOST ZWOELF SUED BAYERN IX MAXIMAL ZWANZIG GRAD,TAG SAUER LAND VIER REGION ZWOELF GRAD,OST SIEBEN GRAD FUENFZEHN FLUSS,0,2,3,3,1
und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober,und nun die wettervorhersage für morgen freitag den fünfzehnten oktober,und nun die wettervorhersage für morgen dienstag den dreizehnten oktober,und nun die wettervorhersage für morgen samstag den einunddreißigsten oktober,und nun die wettervorhersage für morgen donnerstag den achten april,und nun die wettervorhersage für morgen donnerstag den ersten april,0.9918093,0.9899409,0.9792622,0.9786169,0.9749247,14October_2009_Wednesday_tagesschau-516,14October_2009_Wednesday_tagesschau-516/1/*.png,-1.0,-1.0,Signer01,JETZT MORGEN WETTER WIE-AUSSEHEN MORGEN FUENFZEHN OKTOBER,und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober,JETZT WETTER VORAUSSAGE FUER MORGEN FREITAG FUENFZEHN OKTOBER,JETZT MORGEN WETTER WIE-AUSSEHEN DREIZEHN OKTOBER,HEUTE WETTER MORGEN SAMSTAG EINS ZWANZIG OKTOBER,JETZT WIE-AUSSEHEN MORGEN DONNERSTAG ACHTE APRIL WETTER,MORGEN WETTER WIE-AUSSEHEN ERSTE APRIL DONNERSTAG,5,5,3,4,3
heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen,an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad,heute nacht minus zwei grad an der nordsee und bis minus zwanzig grad in einzelnen alpentälern,an der küste morgen kühle neun grad im breisgau bis achtzehn grad,temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad,dort morgen sechs grad sonst temperaturen zwischen minus ein und plus fünf grad,0.9423009,0.9202387,0.917954,0.90890145,0.90751183,14October_2009_Wednesday_tagesschau-526,14October_2009_Wednesday_tagesschau-526/1/*.png,-1.0,-1.0,Signer01,HEUTE NACHT PLUS VIER OST MINUS VIER REGION,heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen,NORD HEUTE NACHT MINUS ZWEI BERG BIS MINUS FUENFZEHN GRAD,HEUTE NACHT MINUS ZWEI MINUS ZWANZIG UNTEN ALPEN TAL,MORGEN NORD NEUN GRAD SUED ACHTZEHN GRAD,TEMPERATUR NULL GRAD KALT NORD MINUS FUENF GRAD,REGION SECHS GRAD REGION MINUS EINS BIS FUENF GRAD,3,3,0,1,2
und nun die wettervorhersage für morgen dienstag den dreizehnten oktober,und nun die wettervorhersage für morgen freitag den fünfzehnten oktober,und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober,und nun die wettervorhersage für morgen dienstag den vierzehnten september,und nun die wettervorhersage für morgen montag den zwölften april,und nun die wettervorhersage für morgen donnerstag den achten april,0.99430734,0.9899409,0.9736297,0.97330177,0.9727704,12October_2009_Monday_tagesschau-548,12October_2009_Monday_tagesschau-548/1/*.png,-1.0,-1.0,Signer01,JETZT MORGEN WETTER WIE-AUSSEHEN DREIZEHN OKTOBER,und nun die wettervorhersage für morgen dienstag den dreizehnten oktober,JETZT WETTER VORAUSSAGE FUER MORGEN FREITAG FUENFZEHN OKTOBER,JETZT MORGEN WETTER WIE-AUSSEHEN MORGEN FUENFZEHN OKTOBER,WETTER MORGEN SIE DIENSTAG VIERZEHN SEPTEMBER,JETZT WETTER MORGEN MONTAG ZWOELF APRIL ZEIGEN-BILDSCHIRM,JETZT WIE-AUSSEHEN MORGEN DONNERSTAG ACHTE APRIL WETTER,4,5,2,3,4
im westen ist es freundlich,sonst ist es recht freundlich,am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich,dazwischen ist es freundlicher,richtung norden und westen ist es recht freundlich,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,0.9222375,0.9061632,0.90128654,0.8890366,0.88604033,12October_2009_Monday_tagesschau-560,12October_2009_Monday_tagesschau-560/1/*.png,-1.0,-1.0,Signer01,WEST FREUNDLICH,im westen ist es freundlich,SONST REGION FREUNDLICH,SONNTAG NORD ALPEN IX SONNE WOLKE SCHAUER SONST REGION FREUNDLICH,DAZWISCHEN FREUNDLICH,NORDWEST FREUNDLICH,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,1,1,1,1,1
ähnliches wetter dann auch am donnerstag,ähnliches wetter auch am donnerstag,ähnliches wetter auch am donnerstag,am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag,und das wetter bringt dort auch noch sonnenschein am vormittag zumindest,am freitag beruhigt sich das wetter wieder,0.9739457,0.9739457,0.87243026,0.861254,0.8543634,12October_2009_Monday_tagesschau-561,12October_2009_Monday_tagesschau-561/1/*.png,-1.0,-1.0,Signer01,AUCH DONNERSTAG,ähnliches wetter dann auch am donnerstag,GLEICH WETTER AUCH DONNERSTAG,GLEICH WETTER AUCH DONNERSTAG,DONNERSTAG NORDWEST REGEN REGION SONNE WOLKE WECHSELHAFT DANN FREITAG AEHNLICH WETTER,NOCH SONNE VOR MITTAG NOCH,FREITAG MEHR RUHIG,2,2,1,0,0
am freitag insgesamt viele wolken die regen bringen,ansonsten viele wolken die erst im norden später auch in der mitte mancherorts regenschauer und vereinzelte gewitter bringen,auch am tag viele wolken und einzelne flocken,richtung nordosten gibt es mehr wolken hier und da etwas regen,auch am montag neben sonne zum teil schwere gewitter,nordöstlich der elbe halten sich heute nacht noch viele wolken die anfangs auch noch ein paar tropfen bringen,0.89954937,0.8806908,0.8766295,0.8753872,0.872993,12October_2009_Monday_tagesschau-562,12October_2009_Monday_tagesschau-562/1/*.png,-1.0,-1.0,Signer01,FREITAG VIEL WOLKE BEWOELKT,am freitag insgesamt viele wolken die regen bringen,SONST VIEL WOLKE NORD KOMMEN SCHAUER GEWITTER KOENNEN,TAG AUCH SCHEINEN,NORDOST MEHR WOLKE REGEN,MONTAG IN-KOMMEND AUCH SONNE ABER SCHWER GEWITTER DABEI,FLUSS NORDOST HEUTE ABEND NOCH WOLKE KOENNEN REGEN SUEDOST,2,0,1,0,1
im osten und südosten auch schnee oder schneeregen,im bergland zum teil schnee an den alpen auch für längere zeit regen oder schnee,in der nacht ist im nordosten in ostbayern und im bergland teilweise schnee oder gefrierender regen möglich,teilweise im nordwesten ein bisschen schneeregen,örtlich ist gefrierender regen dabei richtung nordosten auch schnee,in der nordwesthälfte teils freundlich teils wolkig und meist trocken,0.86145055,0.85735023,0.8494022,0.84698844,0.8324402,12October_2009_Monday_tagesschau-563,12October_2009_Monday_tagesschau-563/1/*.png,-1.0,-1.0,Signer01,SUEDOST SCHNEE KOENNEN,im osten und südosten auch schnee oder schneeregen,MEER SCHNEE SCHNEIEN DANN ALPEN REGEN SCHNEE SCHNEIEN,NORDOST IX BAYERN OST SCHNEE SCHNEIEN UND REGEN MIT FROST BODEN,NORD SCHNEE REGEN WECHSELHAFT,NORDOST MIT SCHNEE SCHNEIEN,NORD MEHR GUT MANCHMAL WOLKE TROCKEN,1,1,1,1,0
