Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
meist weht der wind schwach aus westlichen richtungen	der wind weht meist schwach aus unterschiedlichen richtungen	im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen	in der südhälfte weht der wind schwach sonst schwach bis mäßig richtung küsten frisch und stark böig	der wind weht meist schwach aus ost bis nordost	der wind weht meist schwach und kommt aus unterschiedlichen richtungen	0.9334756	0.9040636	0.9040584	0.90348077	0.9027774
jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	ich wünsche ihnen noch einen schönen abend	ich wünsche ihnen einen schönen abend und machen sie es gut	ich wünsche ihnen einen schönen abend und machen sie es gut	0.9999997	0.9999997	0.97170234	0.92101306	0.92101306
im westen und nordwesten fallen einzelne schauer	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer	in der westhälfte geht der regen in schauer über in den bergen schneeschauer	0.92063916	0.9118668	0.89406455	0.8928701	0.88937235
frischer wind mit starken bis stürmischen böen bei schauern an der nordsee und auf den bergen teilweise sturmböen	der wind weht meist mäßig im osten und an der see frischer wind mit starken böen in den hochlagen der osthälfte sturmböen	der wind weht mäßig bis frisch mit starken bis stürmischen böen im bergland teilweise schwere sturmböen im südosten mitunter nur schwacher wind	morgen wieder schwacher im norden mäßiger wind aus süd bis südwest an der nordsee starke böen	schwacher bis mäßiger im norden zum teil frischer südost bis ostwind der im südwesten später auf südwest dreht an den küsten bläst er stark mit stürmischen böen	dort im süden weht der wind meist nur schwach richtung norden mäßiger zeitweise auch frischer wind an den küsten starke bis stürmische böen	0.93910384	0.90534	0.90178144	0.89918494	0.8961681
und nun die wettervorhersage für morgen samstag den fünften dezember	und nun die wettervorhersage für morgen samstag den zwölften dezember	und nun die wettervorhersage für morgen sonntag den fünften dezember	und nun die wettervorhersage für morgen donnerstag den dritten dezember	und nun die wettervorhersage für morgen sonntag den neunzehnten dezember	und nun die wettervorhersage für morgen samstag den zwölften september	0.9928976	0.98988163	0.98338526	0.9657209	0.9560617
nach einer kurzen wetterberuhigung erreicht uns morgen von westen ein neuer tiefausläufer	dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte	von westen erreicht uns ein neues atlantiktief mit zum teil kräftigen regenfällen und heftigen gewittern	morgen früh bildet sich über der nordsee ein neues tief das von norden für kräftigen regen sorgt	und es kommt ein neues tief das uns morgen abend dann erreichen wird an der nordsee zum teil mit schweren sturmböen	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	0.88579434	0.8855463	0.8821821	0.87887454	0.87657714
der sorgt wieder für wolken die regen im bergland auch schnee bringen	ansonsten viele wolken die erst im norden später auch in der mitte mancherorts regenschauer und vereinzelte gewitter bringen	regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	und im westen haben wir kaum noch schnee aber es gibt eben auch ausnahmen die mittelgebirge	am tag dichte wolken aber auch lücken dazu einige schauer an den nordwestseiten der gebirge kann es auch längere zeit regnen oder schneien	0.88971347	0.88750535	0.87832534	0.8735554	0.87282187
ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	richtung westen gibt es im tagesverlauf vermehrt wolken es bleibt aber weitgehend trocken	0.9302174	0.9117658	0.911397	0.908533	0.9083434
montag und dienstag wechselhaft hier und da zeigt sich aber auch die sonne	richtung südwesten und nordosten lässt sich die sonne auch mal blicken	richtung osten zeigt sich die sonne häufiger	am freitag mal sonne mal wolken und nur einzelne schauer stellenweise zeigt sich die sonne auch für längere zeit	am samstag regnet es im südosten und an der ostsee dort ist es teilweise windig sonst regnet es nur vereinzelt teilweise zeigt sich die sonne	regenreiche tage bei uns in deutschland und dadurch auch die lage an einigen flüssen im osten immer noch angespannt	0.89101017	0.88821983	0.8873377	0.8869639	0.8769377
heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	am dienstag ist es meist freundlich im nordosten halten sich dichtere wolken mit etwas regen	am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	0.9302174	0.9127158	0.91263974	0.90428644	0.90045774
morgen muss verbreitet mit teilweise kräftigen schauern und gewittern gerechnet werden	in der südhälfte muss dazu mit nachtfrost gerechnet werden	in der nacht muss vor allem in der nordwesthälfte mit schauern und gewittern gerechnet werden die heftig ausfallen können	morgen erwartet uns nochmals recht ruhiges und vielerorts trockenes winterwetter	am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	0.91275907	0.88232267	0.8811365	0.87515503	0.8722192
am samstag überwiegend freundlich meist trocken und wärmer	am samstag meist freundlich und überwiegend trocken	am montag überall wechselhaft und deutlich kühler	in der nordwesthälfte teils freundlich teils wolkig und meist trocken	am montag meist trocken bei einer mischung aus sonne und wolken	am tag ist es meist stark bewölkt oder neblig trüb	0.9593479	0.91558385	0.8944294	0.8937326	0.88287187
am sonntag ziehen von nordwesten wieder schauer und gewitter heran	am dienstag ziehen dann gegen abend von westen wieder zum teil kräftige schauer und gewitter heran	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	am mittwoch breiten sich von nordwesten neue wolken mit regen oder schauern aus örtlich sind auch gewitter dabei	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	0.9447739	0.9093461	0.90310967	0.9010637	0.8983982
an der nordsee sowie auf den bergen schwere sturmböen	an der nordsee schwere sturmböen	frischer wind mit starken bis stürmischen böen bei schauern an der nordsee und auf den bergen teilweise sturmböen	am abend schwere sturmböen auf den bergen auch orkanartige böen	am donnerstag vor allem in der nordwesthälfte hier und da sturmböen	besonders im südlichen bergland einzelne wärmegewitter	0.9372437	0.877468	0.8738833	0.8670286	0.85635686
unter wolken heute nacht frostfreie zwei bis acht grad	wo es heute nacht aufklart ist leichter frost möglich sonst null bis vier grad	an der küste morgen kühle neun grad im breisgau bis achtzehn grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	heute nacht schwül warme dreizehn bis achtzehn grad	morgen bei dauernebel im süden nur zwei am niederrhein bis elf grad	0.93923604	0.93470347	0.9293256	0.92737216	0.9257908
und nun die wettervorhersage für morgen donnerstag den ersten april	und nun die wettervorhersage für morgen donnerstag den achten april	und nun die wettervorhersage für morgen samstag den zweiten april	und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober	und nun die wettervorhersage für morgen montag den zwölften april	und nun die wettervorhersage für morgen montag den achtzehnten april	0.99176645	0.98865813	0.9749247	0.97051203	0.9666847
das tief bei schottland sorgt zusammen mit kühler luft auch morgen für wechselhaftes wetter	es sorgt morgen dort für ruhiges freundliches wetter	sonst sorgt die hochdruckzone die vom atlantik bis nach skandinavien reicht für freundliches wetter	am dienstag wechselhaftes wetter	im süden freundliches wetter	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	0.8951241	0.8806376	0.87197024	0.8681482	0.85995847
am freitag mal sonne mal wolken und nur einzelne schauer stellenweise zeigt sich die sonne auch für längere zeit	montag und dienstag wechselhaft hier und da zeigt sich aber auch die sonne	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	richtung südwesten und nordosten lässt sich die sonne auch mal blicken	heute nacht gibt es im norden und nordosten viele wolken örtlich regnet oder nieselt es etwas	0.8873377	0.88689417	0.877614	0.8773699	0.87485325
und so erwartet uns eine mischung aus teilweise zähen nebelfeldern wolken und sonnenschein	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	am sonntag im nordwesten eine mischung aus sonne und wolken mit einigen zum teil gewittrigen schauern	atlantische tiefausläufer bringen uns die ganze woche über regenfälle und zum teil stürmische winde	0.9082935	0.8960443	0.89178663	0.88868743	0.8854871
die neue woche beginnt wechselhaft und kühler	die neue woche beginnt noch wechselhaft und etwas kühler	die neue woche startet dann durchwachsener	auch die neue woche beginnt durchwachsen und recht kühl	im weiteren verlauf breitet sich der regen richtung osten aus dann wird es im westen freundlicher	die luft die in der kommenden woche zu uns strömt ist deutlich kühler	0.9748305	0.92064804	0.9190898	0.8809704	0.87973845
da haben wir morgen schon die dreißig grad morgen im süden von frankreich auch und für uns wahrscheinlich schon im südwesten die fünfundzwanzig grad	im norden und westen morgen zwanzig bis dreiundzwanzig sonst sommerliche fünfundzwanzig bis neunundzwanzig grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	im erzgebirge morgen dreizehn sonst fünfzehn bis zweiundzwanzig grad	0.93640655	0.9272679	0.92588675	0.9229248	0.91599214
ja der donnerstag wird fast noch schöner noch ein bisschen wärmer	und zum wochenende wird es dann sogar wieder ein bisschen kälter	am wochenende scheint meist die sonne und es wird noch wärmer	die temperaturen sind außer jetzt im regen wo es ein bisschen kühler bleibt doch ganz erfreulich	am nachmittag wird es dann freundlicher	denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig	0.9151299	0.8823596	0.8798899	0.8707994	0.86829495
gegen späten nachmittag oder abend gibt es wahrscheinlich die ersten regenschauer im nordwesten	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	zunächst regnet es richtung südosten noch etwas im bergland auch schnee am nachmittag regnet es im westen und nordwesten	am sonntag ziehen von nordwesten wieder schauer und gewitter heran	und im süden besonders vom bayerischen wald bis zu den alpen gibt es am nachmittag einzelne schauer und gewitter	am donnerstag regnet es vor allem im süden und osten mancherorts	0.88794446	0.88479435	0.8823474	0.8820417	0.8805549
